Feature,Importance,AbsImportance
Game5_LifeSum_Score,0.45241225088980286,0.45241225088980286
Arm_MDF_EMG,0.3343288317639835,0.3343288317639835
Neck_Max_Amp_EMG,0.2783886938228105,0.2783886938228105
SDNN_ms_ECG,0.2686592261003456,0.2686592261003456
saccade_count_Eye,0.26808626354016984,0.26808626354016984
fixation_count_Eye,0.26808626354016984,0.26808626354016984
sampling_rate_est_Eye,0.25077586055287904,0.25077586055287904
Mean_RR_ms_ECG,0.23570662320521402,0.23570662320521402
宜人性_Psy,0.23255539973785835,0.23255539973785835
神经质_Psy,0.2251822653740046,0.2251822653740046
外向性_Psy,0.22460145174696358,0.22460145174696358
Resp_Mean_ECG,0.2211106316931369,0.2211106316931369
Neck_iEMG_EMG,0.21864904255937317,0.21864904255937317
开放性_Psy,0.21512050796681603,0.21512050796681603
avg_pupil_R_Eye,0.19113608850238253,0.19113608850238253
Pre_DBP_BPHR,0.1740790883828642,0.1740790883828642
fixation_freq_Eye,0.1670357371231863,0.1670357371231863
avg_blink_dur_ms_Eye,0.14270206177842337,0.14270206177842337
Pre_SBP_BPHR,0.1383840704099395,0.1383840704099395
avg_saccade_amp_deg_Eye,0.1246953473250897,0.1246953473250897
主动_Psy,0.09365853092848674,0.09365853092848674
short_blink_count_Eye,0.0645974182565997,0.0645974182565997
pNN50_pct_ECG,0.06053160355362834,0.06053160355362834
求精_Psy,0.04682379292173128,0.04682379292173128
gaze_pitch_std_Eye,0.0046850990805543495,0.0046850990805543495
