Feature,Importance,AbsImportance
Arm_MDF_EMG,0.3124683388888514,0.3124683388888514
blink_freq_Eye,0.21552349355421177,0.21552349355421177
Game5_LifeSum_Score,0.20940717494761885,0.20940717494761885
sampling_rate_est_Eye,0.20109914950890817,0.20109914950890817
fixation_count_Eye,0.12543354765810402,0.12543354765810402
saccade_count_Eye,0.125433547658104,0.125433547658104
Neck_iEMG_EMG,0.11733009191619832,0.11733009191619832
主动_Psy,0.10420876848628291,0.10420876848628291
Shooting_Accuracy_Score,0.06086515452314505,0.06086515452314505
fixation_freq_Eye,0.05773736094118431,0.05773736094118431
