Feature,Importance,AbsImportance
Mean_RR_ms_ECG,0.3493826511755777,0.3493826511755777
avg_pupil_L_Eye,0.3032270773027303,0.3032270773027303
Neck_Max_Amp_EMG,0.09177746548599101,0.09177746548599101
Game5_LifeSum_Score,0.08518986739962969,0.08518986739962969
Arm_MAV_EMG,0.0641474708529219,0.0641474708529219
Arm_iEMG_EMG,0.041928040101742066,0.041928040101742066
奉献_Psy,0.03549669064086052,0.03549669064086052
Post_HR_BPHR,0.0288507370405468,0.0288507370405468
Shooting_Accuracy_Score,0.0,0.0
HR_Mean_ECG,0.0,0.0
SDNN_ms_ECG,0.0,0.0
blink_freq_Eye,0.0,0.0
Resp_Mean_ECG,0.0,0.0
blink_count_Eye,0.0,0.0
力量_Psy,0.0,0.0
