Feature,Importance,AbsImportance
Mean_RR_ms_ECG,0.20628424853305566,0.20628424853305566
avg_pupil_L_Eye,0.18245467120829473,0.18245467120829473
Neck_Max_Amp_EMG,0.13611816395606252,0.13611816395606252
blink_count_Eye,0.10811706343939564,0.10811706343939564
Game5_LifeSum_Score,0.08294440697194534,0.08294440697194534
Arm_MAV_EMG,0.0654278236254021,0.0654278236254021
Post_HR_BPHR,0.0643056615311911,0.0643056615311911
奉献_Psy,0.05745753809748479,0.05745753809748479
blink_freq_Eye,0.04874435879634823,0.04874435879634823
SDNN_ms_ECG,0.02858484419749054,0.02858484419749054
Arm_iEMG_EMG,0.019561219643329273,0.019561219643329273
Resp_Mean_ECG,0.0,0.0
HR_Mean_ECG,0.0,0.0
力量_Psy,0.0,0.0
Shooting_Accuracy_Score,0.0,0.0
