Feature,Importance,AbsImportance
Game5_LifeSum_Score,0.37049492630873193,0.37049492630873193
Arm_MDF_EMG,0.31737284782249947,0.31737284782249947
saccade_count_Eye,0.2771264532129459,0.2771264532129459
fixation_count_Eye,0.2771264532129459,0.2771264532129459
sampling_rate_est_Eye,0.2698530231557267,0.2698530231557267
Neck_iEMG_EMG,0.2668435064155943,0.2668435064155943
Neck_Max_Amp_EMG,0.26399243058791255,0.26399243058791255
avg_pupil_R_Eye,0.24454278684796932,0.24454278684796932
SDNN_ms_ECG,0.2281667255225126,0.2281667255225126
Mean_RR_ms_ECG,0.2252287547766569,0.2252287547766569
宜人性_Psy,0.22166150629162057,0.22166150629162057
外向性_Psy,0.22113799844756676,0.22113799844756676
Resp_Mean_ECG,0.21031125904470646,0.21031125904470646
blink_freq_Eye,0.2098684238210354,0.2098684238210354
HR_Mean_ECG,0.2097965796617057,0.2097965796617057
开放性_Psy,0.20402604114399922,0.20402604114399922
blink_count_Eye,0.1846877436757577,0.1846877436757577
神经质_Psy,0.18422425661956723,0.18422425661956723
Resp_Change_Rate_ECG,0.17461975070839147,0.17461975070839147
fixation_freq_Eye,0.17398098143831475,0.17398098143831475
Pre_DBP_BPHR,0.1558409630921362,0.1558409630921362
尽责性_Psy,0.1529817428766425,0.1529817428766425
Neck_RMS_EMG,0.14878560273448307,0.14878560273448307
avg_saccade_amp_deg_Eye,0.12997118873923383,0.12997118873923383
Post_HR_BPHR,0.12451447286541327,0.12451447286541327
坚韧.1_Psy,0.11952178781226602,0.11952178781226602
乐观_Psy,0.10194827248689284,0.10194827248689284
Pre_SBP_BPHR,0.09828875620507517,0.09828875620507517
duration_sec_Eye,0.08642925376365118,0.08642925376365118
Arm_RMS_EMG,0.07365122834182306,0.07365122834182306
pNN50_pct_ECG,0.0616808355029398,0.0616808355029398
Shooting_Accuracy_Score,0.049899731698419,0.049899731698419
short_blink_count_Eye,0.04823276480585478,0.04823276480585478
gaze_pitch_std_Eye,0.04758223229275555,0.04758223229275555
主动_Psy,0.04653628030701007,0.04653628030701007
Arm_MPF_EMG,0.045674777188241894,0.045674777188241894
avg_blink_dur_ms_Eye,0.04253862169730489,0.04253862169730489
求精_Psy,0.022840415344755817,0.022840415344755817
力量_Psy,0.019799765892923173,0.019799765892923173
Neck_MAV_EMG,0.0008618962853994734,0.0008618962853994734
