Feature,Importance,AbsImportance
Arm_MDF_EMG,0.17825984808659237,0.17825984808659237
sampling_rate_est_Eye,0.1449901401370526,0.1449901401370526
Game5_LifeSum_Score,0.1435721785763281,0.1435721785763281
HR_Mean_ECG,0.13179189019364515,0.13179189019364515
Neck_Max_Amp_EMG,0.11380358642631484,0.11380358642631484
Post_DBP_BPHR,0.10986443159096004,0.10986443159096004
乐观_Psy,0.10606453307487833,0.10606453307487833
blink_freq_Eye,0.09524627476088152,0.09524627476088152
Neck_iEMG_EMG,0.09046126495475176,0.09046126495475176
saccade_count_Eye,0.09009466672075725,0.09009466672075725
fixation_count_Eye,0.08892426403421033,0.08892426403421033
Arm_MAV_EMG,0.08611489740446501,0.08611489740446501
avg_saccade_amp_deg_Eye,0.08010438887488908,0.08010438887488908
avg_pupil_L_Eye,0.07506296669233199,0.07506296669233199
blink_count_Eye,0.07310980093545479,0.07310980093545479
Post_HR_BPHR,0.0645937181032063,0.0645937181032063
主动_Psy,0.06379554940436659,0.06379554940436659
Shooting_Accuracy_Score,0.0410992581887623,0.0410992581887623
fixation_freq_Eye,0.0404688441287312,0.0404688441287312
gaze_pitch_std_Eye,0.031241883585275288,0.031241883585275288
