Feature,Importance,AbsImportance
Game5_LifeSum_Score,0.08934543197344513,0.08934543197344513
主动_Psy,0.08906430306460894,0.08906430306460894
short_blink_count_Eye,0.07096384841999948,0.07096384841999948
sampling_rate_est_Eye,0.05996654366584541,0.05996654366584541
pNN50_pct_ECG,0.057405485754635305,0.057405485754635305
Arm_MDF_EMG,0.05569829066681697,0.05569829066681697
avg_blink_dur_ms_Eye,0.055353837860439334,0.055353837860439334
Pre_SBP_BPHR,0.05500111349639478,0.05500111349639478
avg_pupil_R_Eye,0.05357283222056096,0.05357283222056096
Neck_RMS_EMG,0.052770034119670566,0.052770034119670566
Pre_DBP_BPHR,0.05119527522128024,0.05119527522128024
avg_pupil_L_Eye,0.04449300490400466,0.04449300490400466
RMSSD_ms_ECG,0.04151746180258347,0.04151746180258347
avg_saccade_amp_deg_Eye,0.040738612990495894,0.040738612990495894
HR_Change_Rate_ECG,0.03644937405831773,0.03644937405831773
心理弹性总分_Psy,0.0358864506554244,0.0358864506554244
力量_Psy,0.03369981266047576,0.03369981266047576
Post_SBP_BPHR,0.031184482980406145,0.031184482980406145
duration_sec_Eye,0.027571500790964185,0.027571500790964185
n_peaks_ECG,0.018122302693630615,0.018122302693630615
