Feature,Importance,AbsImportance
Arm_iEMG_EMG,0.1139955748046158,0.1139955748046158
Arm_MAV_EMG,0.10053460627900568,0.10053460627900568
Mean_RR_ms_ECG,0.08961431519385943,0.08961431519385943
Post_DBP_BPHR,0.08135243478151573,0.08135243478151573
Neck_Max_Amp_EMG,0.07711625094712511,0.07711625094712511
HR_Mean_ECG,0.07338934060494759,0.07338934060494759
奉献_Psy,0.06371050405372376,0.06371050405372376
Resp_Mean_ECG,0.06361789705241057,0.06361789705241057
avg_pupil_L_Eye,0.05581790786103321,0.05581790786103321
blink_freq_Eye,0.04802643241070985,0.04802643241070985
gaze_pitch_std_Eye,0.03135542929395068,0.03135542929395068
RMSSD_ms_ECG,0.030041359968118925,0.030041359968118925
blink_count_Eye,0.028088524964544215,0.028088524964544215
乐观_Psy,0.027799183396470528,0.027799183396470528
Game5_LifeSum_Score,0.026657241890465703,0.026657241890465703
心理弹性总分_Psy,0.02342379939214346,0.02342379939214346
力量_Psy,0.018528036381520542,0.018528036381520542
SDNN_ms_ECG,0.01794782066799193,0.01794782066799193
Post_HR_BPHR,0.014762719006709276,0.014762719006709276
Shooting_Accuracy_Score,0.0142206210491382,0.0142206210491382
