subject_idx,Cog_score,ECG_score,EMG_score,Eye_score,BPHR_score,Ele_score,Score_score,Psy_score,Shooting_TotalScore_Score,Shooting_Accuracy_Score,Shooting_AvgScore_Score,Task4_BallAndRing_Score,Task4_NumberLine_Score,Task4_Total_Score,Task4_Accuracy_Score,Game5_TotalScore_Score,Game5_LifeSum_Score,Behavior_Score_Factor_PCA,Behavior_Score_Factor_Weighted,Motivation_Factor_Formula,Motivation_Factor_PCA
35,1.332174674089817,-1.9744958409003108,1.5984706444130505,2.2783432669853627,0.5708580814382829,1.1029133549024719,0.3197087862293634,3.6531603136170934,1557.0,1.0,17.49,2463.0,360,2823.0,0.75,830,221.0,0.3197087862293634,-0.07783809242327532,0.6623264184342097,-1.5140014854487613
36,0.49957747666765107,0.8611090742906488,-2.8419380981453704,-1.065850051742575,2.779022030869527,-0.6019557616964298,-1.1190795002686311,-0.8374204902433219,1939.4,0.76,24.3,2204.0,200,2404.0,0.7,1070,329.0,-1.1190795002686311,-0.36393290438705206,-0.013772382992015449,-1.64605163774115
37,-2.003999031428719,-2.9163035108780075,0.21842961409922856,0.47064490501562883,-1.532207576199078,0.28932532208056183,-4.0239475407959455,0.27568851130950733,1353.0,0.76,19.9,1674.0,190,1864.0,0.65,1274,65.0,-4.0239475407959455,-1.2566800167931942,1.4886693979551515,1.5415797741090014
38,-1.5566930209655547,3.177029680034459,3.348689566778096,1.1254020969663467,1.3595899408924568,1.495725849570785,-0.19978093525683888,4.589105385447081,1534.0,1.0,17.24,2252.0,340,2592.0,0.72,1000,292.0,-0.19978093525683888,-0.11893535918283533,-0.764993273465599,-2.9353645292944592
39,1.9851725873480408,0.9016310095020009,-0.3587775138136012,0.759510232091649,-0.8236164949384268,0.1352833894234426,0.3703232575095703,-3.252534837512084,2457.0,0.99,27.92,2031.0,360,2391.0,0.73,1210,356.0,0.3703232575095703,0.3482972916798714,-0.6447979309898261,-0.4137140033802153
40,-1.840541322223831,-0.9091533370856831,-2.4372618815779186,-0.6321955026386806,-0.5316363310044738,-0.6070484563100058,-0.11187278528412108,4.599798747263132,1311.0,0.97,15.24,2256.0,290,2546.0,0.73,1330,333.0,-0.11187278528412108,-0.04557230497068347,-0.2391386501340905,0.04871259433720633
41,-0.3690316446544055,2.7611615297213072,0.6611768115324511,2.555043347533081,2.2787712211614064,-0.3149802793288776,-3.303821639741533,0.7021321175926136,2016.0,0.89,25.52,1835.0,110,1945.0,0.65,1234,83.0,-3.303821639741533,-0.8528158727635596,0.512082240339493,3.1903748918208756
42,1.9086528796605293,2.8119638910370406,-0.6625903469527445,-3.5058649141727645,0.9066059862293221,0.023724258935610195,-1.2769559750207102,-1.2419686004220496,1817.0,0.88,23.0,2180.0,100,2280.0,0.69,1290,353.0,-1.2769559750207102,-0.2682917875495485,0.8125705965289264,1.7812261074850189
43,0.7814477601354337,-0.31930233493192245,0.6075440566045502,-0.5995133955820702,-0.020912532458450164,-1.2798309339886575,1.5406228763017786,-0.7491596886717357,1761.8,0.97,24.13,2438.8,458,2896.8,0.77,1218,288.4,1.5406228763017786,0.4654241238813227,-0.2391386501340905,1.9001948466949525
44,2.7187996767331546,1.207623422714856,0.6360412835342059,-2.4551339700320125,-0.4735703161522847,0.2529294233326667,1.565866202597609,0.9515990295520007,1956.6,0.98,28.41,2462.0,350,2812.0,0.77,1150,371.0,1.565866202597609,0.558111276312816,-0.46450491727616555,-0.141238208888182
45,1.872847963673837,1.8801024655140497,-2.924004573007952,3.1157084919495857,-0.8375819941205316,1.9800992973416138,2.530218372995469,-5.691196508608436,2062.0,1.0,23.17,2687.0,500,3187.0,0.8,1130,242.0,2.530218372995469,0.7068893585265968,-1.8768001913665024,-0.8841364531859696
46,1.2614168834134365,-1.8859996501634506,-0.6265581228913363,-0.9650186408584249,1.3735083674456974,-0.09785956505472644,2.255130343483644,-4.186253574653309,3118.0,0.89,39.47,2434.0,420,2854.0,0.76,1440,334.0,2.255130343483644,1.0105691446302052,-2.0120199516517476,-0.7819185870705468
47,-0.01309638039101509,-0.30005844997271963,1.717900082077398,0.11082183738178725,-0.17901712648883097,1.173317970114275,-2.350217987255535,2.911601369216936,1801.0,0.96,21.19,2111.0,40,2151.0,0.63,1100,334.0,-2.350217987255535,-0.5680476942721536,0.512082240339493,1.8327216861782059
48,0.7166317066267672,3.6742962734689546,-0.6785142110006822,2.1481719717782,-2.909495267788432,-0.12800559793365968,0.49195533564847493,4.125603197700286,2100.0,1.0,23.33,1946.0,420,2366.0,0.77,1420,286.0,0.49195533564847493,0.3294204710948384,1.2482787130036046,1.8147015278135508
49,0.7268766486945203,-1.6639181948211565,0.2574533310513999,-0.44629765790907966,-0.3702129188153932,1.370335750338338,0.6987822450715171,-0.009043004256508934,1613.4,1.0,39.91,1814.0,500,2314.0,0.79,1200,282.0,0.6987822450715171,0.4290311416095913,-0.9152374515603157,-2.7303294646732748
50,1.2972572829310993,0.3039882810704731,-0.767924210903952,1.6689793937148503,1.4355890238212574,0.7514162985153698,2.00214567604071,-1.9596111553755708,1760.0,0.99,19.78,2283.0,500,2783.0,0.79,1480,382.0,2.00214567604071,0.682677716109909,0.2115938841500596,-1.5116531981404115
51,-1.7933546670191414,0.05611940118124981,-0.932731705053262,0.5656186645870119,1.9820117943653044,2.3629189183513963,1.0066926771523335,0.01158174744989927,1621.0,0.98,18.42,2480.0,420,2900.0,0.76,1080,253.0,1.0066926771523335,0.1967676593291548,1.56379148700251,2.117455267833437
52,0.3323933977740365,-1.4365464574752824,0.9341283717899433,2.637680895490143,-1.2278071598784959,-2.244588757727113,-1.5468349157211376,-3.600778561337426,2141.0,1.0,24.06,1613.0,350,1963.0,0.7,1180,250.0,-1.5468349157211376,-0.25504377789814286,-0.31426073918144887,-0.30669305163564353
53,0.6003328840886969,-0.47995477043823837,-0.6574365437628893,-0.1020489253449246,-1.0203622088022575,-0.3829127061922923,-0.6995850056903011,4.200440679569179,2887.0,0.81,40.1,1987.0,340,2327.0,0.75,910,105.0,-0.6995850056903011,-0.08659313550153971,1.1130589527183599,0.4814477432532359
54,1.07297047381227,2.0821461201641247,0.9336806961878129,-0.8466402765563813,3.932708398548782,-0.09484423909846784,0.11395393221152207,0.40443799441119355,1326.0,0.78,19.22,2066.0,430,2496.0,0.77,1270,350.0,0.11395393221152207,-0.08450805595976497,-0.0888944720393738,-1.086219467237605
55,-1.0918512418987214,-0.3659691847486001,0.5271292914195733,3.5487561945757027,-1.096913021255938,0.3591848888301172,1.2947442750192135,-1.7546326799533272,1970.0,0.99,22.39,2502.0,350,2852.0,0.76,1470,258.0,1.2947442750192135,0.48547485945416874,-0.9152374515603157,-0.7490114498098411
56,-0.5548941046734576,-2.5217775825006137,-0.18411259068208483,-2.2079796340728954,-0.35375601213395685,1.8409919817578178,-0.9059981272167958,-1.7832458796243054,1776.0,0.88,22.48,1976.0,430,2406.0,0.74,840,167.0,-0.9059981272167958,-0.3988899525491254,-0.8401153625129573,-2.5301264303036852
57,1.2330078045910353,-1.539482424876888,5.262312869174813,-2.828259066121447,1.3938767213087422,1.0570487987983634,-2.35203901627112,-2.831428226335634,2677.0,0.88,33.89,1956.0,30,1986.0,0.61,1280,348.0,-2.35203901627112,-0.3131715616878073,-0.46450491727616555,0.3505119036750892
58,1.5117239973169456,2.0862968839895824,-2.901310228870066,1.1008655941467718,-0.8856224899282235,0.7371518180889477,1.8523561765873446,3.6974069630285284,1384.0,1.0,15.38,2483.0,500,2983.0,0.8,1280,277.0,1.8523561765873446,0.43912335273065883,0.10642295948375749,-0.06298839494397383
59,-0.3867812380183929,-3.398384403783707,1.3831238595994,-0.07465378173490851,-0.7579796688292845,-0.17573216658790475,1.2881742658382984,-2.450383613387708,2051.0,0.93,24.42,2649.0,270,2919.0,0.74,1220,370.0,1.2881742658382984,0.4379175715727601,-0.3893828282288072,-0.9221487672338028
